538397,96269,821009,681993,421982,55958,24535,135429,1081420,97219
34313,13131,56030,54747,25644,4702,89490,18255,123012,224
40779,12594,61601,54280,27476,4918,78494,16573,122626,295
45968,14031,67405,53877,29110,5477,65505,15880,129385,137
52723,14949,72822,56984,32646,6034,56126,16067,134434,252
55475,10820,72810,57632,37729,6611,49077,14837,125552,914
56586,10145,70784,54838,43286,7051,45813,13631,119502,1743
208508,120796,458590,370655,141179,37599,160444,106015,852500,2957
294818,105940,555346,410085,168058,42558,139056,109389,940118,9844
369326,125514,691788,495463,200562,48703,111663,120105,1044421,24006
425420,139957,756133,564990,241309,55768,100913,134639,1060288,33552
452386,91243,756229,572193,275077,59580,85258,133367,1043518,59525
463500,76197,753999,543648,313223,62823,77328,127379,1004527,86565
41556,19888,80083,64122,28324,6939,61862,18571,198435,431
57813,18179,92918,65461,31975,7519,47359,17677,215508,1126
70065,22006,105455,72165,35297,7906,35729,17989,232518,1848
82837,24354,116154,81734,42791,8516,34802,19005,243158,1596
93181,17918,122463,86366,50389,9337,24716,19523,237062,8532
94476,14443,124738,85358,59369,10014,26380,19081,237151,9468
33086,14505,54572,49075,23413,4206,92966,19187,124112,188
38696,13808,59771,47220,24355,4294,81157,17657,127134,176
42316,14428,61209,47103,24368,4482,63314,15720,129255,362
47465,15238,65064,48131,27012,5115,55962,14842,127208,426
51242,11126,67128,47164,32247,5899,41387,13659,118418,1579
49012,8881,65294,44886,37820,6133,37194,12153,105394,2190
123748,67751,254429,229519,128757,24302,182601,71963,660074,440
161994,64004,287543,229613,134804,24577,163251,68338,703623,1785
190976,68649,324860,244202,145114,25704,135715,70177,758761,1959
214801,72346,339610,268719,160316,27050,126314,70780,757097,3294
228936,49608,344296,266145,171740,29076,108411,69756,735489,9707
232871,43602,338019,251914,187340,30589,98993,67124,722182,18013
60075,33304,117387,110173,56736,8572,147096,36916,324392,285
78283,30693,135912,106538,62043,9062,127032,35949,352391,602
96536,34493,158621,113506,69890,9716,101809,38185,377666,1589
110832,36109,171676,126093,82434,10760,88020,40143,372496,2230
122389,24214,171889,129801,90128,11633,75064,38121,368117,6732
123798,20005,171481,124984,95879,12733,68479,35433,353827,10520
36117,15530,48695,52223,23617,4136,77668,18383,127608,637
41117,13508,53166,51659,23901,4244,69441,16403,123973,1016
46757,14380,57174,51077,24891,4378,56649,15968,126994,1778
53119,15068,61390,51931,28557,4947,48742,15385,124720,2172
55812,10892,62357,50007,31650,5309,40324,13619,115394,5145
